age,marital,address,income,inccat,ed,employ,retire,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
51,Married,10,47,$25 - $49,Did not complete high school,9,No,Male,3,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
39,Married,9,33,$25 - $49,Some college,1,No,Male,4,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
49,Unmarried,29,135,$75+,High school degree,14,No,Female,1,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
52,Unmarried,20,272,$75+,Did not complete high school,35,No,Male,1,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
53,Married,29,41,$25 - $49,Did not complete high school,9,No,Male,2,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
34,Unmarried,10,20,Under $25,Some college,0,No,Female,1,Yes,Yes,Yes,Yes,No Answer,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
47,Married,6,22,Under $25,Some college,7,No,Male,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
58,Unmarried,2,60,$50 - $74,College degree,1,No,Male,1,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
25,Married,0,58,$50 - $74,Some college,4,No,Female,5,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
57,Married,28,92,$75+,High school degree,25,No,Female,4,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
30,Married,7,21,Under $25,College degree,4,No,Male,2,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
21,Unmarried,0,13,Under $25,Some college,0,No,Female,2,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No
24,Unmarried,5,24,Under $25,High school degree,2,No,Female,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
56,Unmarried,7,213,$75+,College degree,30,No,Female,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
24,Unmarried,2,19,Under $25,High school degree,0,No,Male,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
41,Unmarried,13,59,$50 - $74,Some college,17,No,Male,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
57,Married,30,544,$75+,High school degree,39,No,Female,3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
32,Unmarried,2,32,$25 - $49,High school degree,10,No,Male,6,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
24,Unmarried,5,35,$25 - $49,College degree,0,No,Male,1,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
49,Married,12,35,$25 - $49,Did not complete high school,4,No,Male,3,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Unmarried,0,22,Under $25,Some college,0,No,Female,2,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
33,Married,12,39,$25 - $49,High school degree,8,No,Female,5,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
56,Unmarried,12,134,$75+,High school degree,19,No,Male,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
54,Married,16,103,$75+,Did not complete high school,28,No,Male,6,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
44,Married,8,240,$75+,College degree,11,No,Female,2,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20,Unmarried,1,20,Under $25,High school degree,0,No,Male,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
47,Unmarried,15,118,$75+,High school degree,26,No,Male,1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
48,Unmarried,15,78,$75+,College degree,18,No,Female,1,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
25,Unmarried,2,68,$50 - $74,College degree,0,No,Female,3,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
52,Unmarried,13,27,$25 - $49,Did not complete high school,10,No,Male,1,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
38,Married,0,19,Under $25,Did not complete high school,1,No,Female,2,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
65,Married,5,20,Under $25,High school degree,10,Yes,Male,2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
28,Married,2,31,$25 - $49,Some college,0,No,Male,2,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
51,Married,28,51,$50 - $74,High school degree,9,No,Male,4,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
61,Married,34,84,$75+,High school degree,18,No,Male,2,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
46,Married,10,133,$75+,Post-undergraduate degree,16,No,Male,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
43,Married,8,109,$75+,High school degree,20,No,Female,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
28,Unmarried,7,24,Under $25,Some college,2,No,Male,1,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
39,Unmarried,6,57,$50 - $74,Some college,12,No,Female,1,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
37,Unmarried,16,24,Under $25,Some college,7,No,Male,2,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
59,Married,35,32,$25 - $49,High school degree,0,No,Male,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
55,Unmarried,29,65,$50 - $74,College degree,10,No,Female,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
51,Married,20,70,$50 - $74,Some college,8,No,Male,2,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
48,Married,28,321,$75+,Post-undergraduate degree,11,No,Male,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
40,Unmarried,4,71,$50 - $74,Some college,6,No,Male,3,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
28,Unmarried,3,35,$25 - $49,Some college,6,No,Female,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
39,Married,16,85,$75+,High school degree,21,No,Male,6,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
30,Married,0,20,Under $25,Some college,3,No,Female,4,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
40,Married,5,33,$25 - $49,Some college,15,No,Female,4,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
55,Unmarried,18,35,$25 - $49,College degree,2,No,Female,1,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
48,Married,0,50,$50 - $74,High school degree,11,No,Female,4,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
48,Married,4,1116,$75+,College degree,22,No,Male,4,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
49,Married,19,89,$75+,High school degree,25,No,Female,2,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
56,Unmarried,34,376,$75+,Did not complete high school,35,No,Female,1,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
44,Unmarried,22,54,$50 - $74,Did not complete high school,21,No,Male,1,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
43,Unmarried,12,68,$50 - $74,High school degree,15,No,Male,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
61,Married,12,117,$75+,College degree,5,No,Female,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
37,Unmarried,18,29,$25 - $49,Post-undergraduate degree,4,No,Male,1,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
29,Married,2,25,$25 - $49,High school degree,10,No,Male,2,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
30,Married,10,27,$25 - $49,Did not complete high school,3,No,Female,4,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
48,Unmarried,7,129,$75+,Some college,20,No,Male,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
51,Married,24,140,$75+,Did not complete high school,32,No,Male,2,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
40,Married,15,57,$50 - $74,College degree,12,No,Male,2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
66,Married,34,30,$25 - $49,Did not complete high school,4,No,Female,4,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
61,Married,18,23,Under $25,High school degree,27,Yes,Male,3,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
61,Married,6,64,$50 - $74,Some college,25,No,Female,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
32,Married,10,26,$25 - $49,Some college,5,No,Male,6,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
25,Unmarried,6,27,$25 - $49,High school degree,1,No,Male,1,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
47,Unmarried,1,28,$25 - $49,Some college,8,No,Male,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
59,Married,18,209,$75+,High school degree,22,No,Female,2,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
25,Married,5,27,$25 - $49,High school degree,2,No,Female,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
63,Married,31,478,$75+,Did not complete high school,45,No,Male,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
41,Unmarried,8,49,$25 - $49,College degree,14,No,Male,2,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
66,Unmarried,24,30,$25 - $49,High school degree,1,No,Male,1,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
20,Unmarried,1,36,$25 - $49,Some college,0,No,Male,1,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
47,Married,21,62,$50 - $74,Some college,5,No,Male,3,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
42,Unmarried,9,49,$25 - $49,Did not complete high school,12,No,Female,3,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
35,Married,5,49,$25 - $49,College degree,9,No,Female,4,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
24,Unmarried,2,23,Under $25,College degree,1,No,Male,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
22,Unmarried,3,23,Under $25,College degree,0,No,Female,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
32,Married,12,59,$50 - $74,Post-undergraduate degree,5,No,Male,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
50,Married,20,58,$50 - $74,Did not complete high school,8,No,Male,2,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
44,Married,8,46,$25 - $49,Did not complete high school,18,No,Male,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
32,Unmarried,12,31,$25 - $49,College degree,1,No,Male,2,Yes,Yes,No,No,Does not know,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
65,Unmarried,43,40,$25 - $49,Did not complete high school,10,No,Female,1,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
47,Married,21,181,$75+,High school degree,21,No,Female,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
42,Unmarried,5,53,$50 - $74,College degree,6,No,Female,1,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
48,Unmarried,29,144,$75+,High school degree,14,No,Female,1,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
29,Unmarried,4,22,Under $25,College degree,0,No,Male,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
36,Unmarried,3,43,$25 - $49,High school degree,0,No,Male,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
34,Unmarried,15,23,Under $25,High school degree,4,No,Female,1,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
41,Unmarried,22,68,$50 - $74,College degree,0,No,Female,2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
26,Unmarried,6,41,$25 - $49,High school degree,0,No,Male,3,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
25,Unmarried,6,23,Under $25,College degree,0,No,Male,2,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
53,Unmarried,23,145,$75+,High school degree,29,No,Male,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
32,Married,1,33,$25 - $49,High school degree,2,No,Female,2,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
46,Unmarried,7,83,$75+,High school degree,14,No,Female,3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
44,Married,5,39,$25 - $49,Did not complete high school,17,No,Female,6,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
39,Unmarried,17,42,$25 - $49,College degree,5,No,Female,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
39,Married,14,43,$25 - $49,Did not complete high school,11,No,Female,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
40,Unmarried,0,38,$25 - $49,College degree,2,No,Female,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
25,Unmarried,4,59,$50 - $74,College degree,2,No,Female,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
29,Married,2,57,$50 - $74,High school degree,6,No,Male,4,No,Yes,No,No,Does not know,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
23,Unmarried,0,24,Under $25,College degree,0,No,Male,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
48,Unmarried,25,45,$25 - $49,Did not complete high school,11,No,Male,1,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
24,Unmarried,5,22,Under $25,High school degree,0,No,Male,1,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
59,Unmarried,24,30,$25 - $49,Some college,5,No,Male,3,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
31,Married,2,30,$25 - $49,High school degree,3,No,Female,4,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
70,Unmarried,23,21,Under $25,High school degree,21,Yes,Female,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
37,Unmarried,15,51,$50 - $74,College degree,5,No,Male,6,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
59,Married,15,43,$25 - $49,Some college,8,No,Female,4,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
38,Unmarried,8,30,$25 - $49,College degree,0,No,Female,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
56,Unmarried,35,37,$25 - $49,Some college,5,No,Male,1,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
48,Married,19,23,Under $25,Did not complete high school,7,No,Female,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
28,Married,2,16,Under $25,College degree,0,No,Male,3,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
20,Married,0,19,Under $25,High school degree,1,No,Male,8,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
68,Unmarried,23,22,Under $25,High school degree,24,Yes,Male,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
26,Unmarried,2,38,$25 - $49,College degree,1,No,Male,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
29,Married,4,74,$50 - $74,College degree,0,No,Female,4,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
23,Married,3,13,Under $25,High school degree,1,No,Male,4,Yes,Yes,No,No,No Answer,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
61,Unmarried,37,41,$25 - $49,Some college,21,Yes,Male,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
39,Unmarried,12,48,$25 - $49,Did not complete high school,6,No,Female,1,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
47,Married,13,176,$75+,College degree,5,No,Female,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
36,Unmarried,2,40,$25 - $49,College degree,8,No,Male,1,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
61,Unmarried,17,837,$75+,High school degree,42,No,Male,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
32,Married,1,71,$50 - $74,College degree,9,No,Male,2,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
28,Married,0,30,$25 - $49,College degree,5,No,Male,4,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
66,Married,46,42,$25 - $49,High school degree,10,No,Female,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
35,Married,9,51,$50 - $74,Did not complete high school,14,No,Male,2,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
55,Married,23,352,$75+,College degree,23,No,Male,4,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
47,Unmarried,27,122,$75+,College degree,20,No,Female,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
34,Married,0,38,$25 - $49,Some college,7,No,Male,5,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
29,Unmarried,0,67,$50 - $74,High school degree,10,No,Male,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
36,Unmarried,5,31,$25 - $49,Some college,0,No,Male,3,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
38,Married,4,51,$50 - $74,Some college,7,No,Male,4,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
33,Married,10,35,$25 - $49,College degree,2,No,Male,5,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
46,Married,12,88,$75+,High school degree,23,No,Female,2,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
29,Unmarried,5,60,$50 - $74,College degree,2,No,Female,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
38,Married,7,53,$50 - $74,Some college,2,No,Female,6,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
38,Unmarried,1,42,$25 - $49,High school degree,6,No,Male,1,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
39,Married,1,29,$25 - $49,Did not complete high school,7,No,Female,2,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
34,Married,3,62,$50 - $74,Post-undergraduate degree,2,No,Male,7,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
58,Married,21,46,$25 - $49,High school degree,0,No,Male,2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
29,Unmarried,2,31,$25 - $49,Did not complete high school,12,No,Female,2,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
64,Unmarried,16,16,Under $25,College degree,8,Yes,Male,1,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
41,Unmarried,12,36,$25 - $49,Some college,0,No,Male,2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
44,Unmarried,24,25,$25 - $49,Did not complete high school,1,No,Female,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
60,Married,38,82,$75+,Did not complete high school,28,No,Female,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
32,Unmarried,7,25,$25 - $49,College degree,4,No,Female,2,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
35,Unmarried,7,37,$25 - $49,Some college,9,No,Male,1,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
58,Married,19,19,Under $25,High school degree,3,No,Male,2,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
37,Unmarried,15,30,$25 - $49,High school degree,6,No,Female,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
63,Married,28,208,$75+,High school degree,28,No,Female,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
22,Married,0,25,$25 - $49,Some college,0,No,Female,4,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
66,Married,29,72,$50 - $74,High school degree,20,No,Female,3,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
26,Unmarried,1,19,Under $25,Did not complete high school,0,No,Male,1,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
44,Unmarried,13,104,$75+,High school degree,11,No,Female,1,Yes,No,No,No,No Answer,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
41,Unmarried,9,25,$25 - $49,High school degree,2,No,Female,1,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
