age,car,carcat,empcat,jobsat
40,35.1,Luxury,5 to 15,Somewhat dissatisfied
28,17.3,Standard,5 to 15,Highly satisfied
39,44,Luxury,More than 15,Highly satisfied
30,9.700000000000001,Economy,Less than 5,Somewhat satisfied
40,16.400000000000002,Standard,More than 15,Highly satisfied
55,17.2,Standard,Less than 5,Somewhat dissatisfied
48,25.200000000000003,Standard,5 to 15,Neutral
48,74.1,Luxury,More than 15,Highly satisfied
49,44.7,Luxury,More than 15,Highly satisfied
56,64.9,Luxury,More than 15,Highly satisfied
44,27.3,Standard,More than 15,Neutral
43,32.9,Luxury,More than 15,Neutral
61,60.400000000000006,Luxury,5 to 15,Somewhat satisfied
37,14.5,Economy,Less than 5,Somewhat satisfied
29,12.5,Economy,5 to 15,Somewhat dissatisfied
30,13.100000000000001,Economy,Less than 5,Somewhat dissatisfied
48,65.5,Luxury,More than 15,Highly satisfied
51,70.60000000000001,Luxury,More than 15,Somewhat satisfied
40,29.5,Standard,5 to 15,Neutral
66,15.5,Standard,Less than 5,Somewhat satisfied
61,11.3,Economy,More than 15,Somewhat satisfied
61,32,Luxury,More than 15,Highly satisfied
32,12.200000000000001,Economy,5 to 15,Somewhat satisfied
25,13.4,Economy,Less than 5,Highly dissatisfied
47,13.700000000000001,Economy,5 to 15,Neutral
59,76.8,Luxury,More than 15,Highly satisfied
25,13.8,Economy,Less than 5,Highly dissatisfied
63,73,Luxury,More than 15,Somewhat satisfied
41,23.900000000000002,Standard,5 to 15,Somewhat dissatisfied
66,14.3,Economy,Less than 5,Somewhat dissatisfied
20,17.5,Standard,Less than 5,Somewhat dissatisfied
47,31.200000000000003,Luxury,5 to 15,Neutral
42,24.5,Standard,5 to 15,Neutral
35,24.3,Standard,5 to 15,Somewhat satisfied
24,11.9,Economy,Less than 5,Neutral
22,11.5,Economy,Less than 5,Neutral
32,29.8,Standard,5 to 15,Somewhat dissatisfied
50,29.200000000000003,Standard,5 to 15,Highly satisfied
44,23.200000000000003,Standard,More than 15,Somewhat satisfied
32,15.4,Standard,Less than 5,Highly dissatisfied
65,20.900000000000002,Standard,5 to 15,Somewhat satisfied
47,90.4,Luxury,More than 15,Somewhat satisfied
42,25.400000000000002,Standard,5 to 15,Somewhat dissatisfied
48,72.7,Luxury,5 to 15,Somewhat dissatisfied
29,10.9,Economy,Less than 5,Somewhat dissatisfied
36,20.200000000000003,Standard,Less than 5,Highly dissatisfied
34,11.4,Economy,Less than 5,Somewhat satisfied
41,34.300000000000004,Luxury,Less than 5,Highly dissatisfied
26,20.900000000000002,Standard,Less than 5,Highly dissatisfied
25,11.5,Economy,Less than 5,Highly dissatisfied
53,70.9,Luxury,More than 15,Highly satisfied
32,16.8,Standard,Less than 5,Neutral
46,40.5,Luxury,5 to 15,Somewhat dissatisfied
44,19.200000000000003,Standard,More than 15,Highly satisfied
39,20.6,Standard,5 to 15,Highly dissatisfied
39,22.3,Standard,5 to 15,Somewhat satisfied
40,18.900000000000002,Standard,Less than 5,Neutral
25,28.400000000000002,Standard,Less than 5,Somewhat dissatisfied
29,28.700000000000003,Standard,5 to 15,Somewhat dissatisfied
23,11.8,Economy,Less than 5,Highly dissatisfied
48,22.700000000000003,Standard,5 to 15,Neutral
24,10.600000000000001,Economy,Less than 5,Somewhat dissatisfied
59,14.5,Economy,5 to 15,Highly dissatisfied
31,15.100000000000001,Standard,Less than 5,Highly dissatisfied
70,10.3,Economy,More than 15,Somewhat dissatisfied
37,24.700000000000003,Standard,5 to 15,Highly dissatisfied
59,21,Standard,5 to 15,Neutral
38,15.200000000000001,Standard,Less than 5,Highly dissatisfied
56,18.1,Standard,5 to 15,Neutral
48,11.4,Economy,5 to 15,Somewhat satisfied
28,7.9,Economy,Less than 5,Highly dissatisfied
20,9.600000000000001,Economy,Less than 5,Somewhat satisfied
68,10.700000000000001,Economy,More than 15,Neutral
26,18.6,Standard,Less than 5,Highly dissatisfied
29,37.300000000000004,Luxury,Less than 5,Highly satisfied
23,6.4,Economy,Less than 5,Highly dissatisfied
61,20.200000000000003,Standard,More than 15,Somewhat satisfied
39,25.6,Standard,5 to 15,Somewhat dissatisfied
47,88.9,Luxury,5 to 15,Somewhat dissatisfied
36,20.400000000000002,Standard,5 to 15,Somewhat dissatisfied
61,73.4,Luxury,More than 15,Highly satisfied
32,35.4,Luxury,5 to 15,Somewhat dissatisfied
28,14.4,Economy,5 to 15,Somewhat dissatisfied
66,19.900000000000002,Standard,5 to 15,Somewhat dissatisfied
35,25.400000000000002,Standard,5 to 15,Somewhat satisfied
55,67.7,Luxury,More than 15,Somewhat satisfied
47,60.400000000000006,Luxury,More than 15,Highly satisfied
34,19.6,Standard,5 to 15,Somewhat dissatisfied
29,34.2,Luxury,5 to 15,Somewhat dissatisfied
36,15.600000000000001,Standard,Less than 5,Highly dissatisfied
38,25.900000000000002,Standard,5 to 15,Somewhat dissatisfied
33,17.3,Standard,Less than 5,Neutral
46,42.7,Luxury,More than 15,Somewhat satisfied
29,30.400000000000002,Luxury,Less than 5,Neutral
38,25,Standard,Less than 5,Highly dissatisfied
38,20.5,Standard,5 to 15,Somewhat dissatisfied
39,14.3,Economy,5 to 15,Neutral
34,31,Luxury,Less than 5,Somewhat satisfied
58,22.200000000000003,Standard,Less than 5,Somewhat dissatisfied
29,15.4,Standard,5 to 15,Somewhat dissatisfied
64,8.1,Economy,5 to 15,Somewhat dissatisfied
41,18.2,Standard,Less than 5,Somewhat dissatisfied
44,11.9,Economy,Less than 5,Highly dissatisfied
60,40.300000000000004,Luxury,More than 15,Neutral
32,12.700000000000001,Economy,Less than 5,Somewhat satisfied
35,18.6,Standard,5 to 15,Somewhat satisfied
58,9.600000000000001,Economy,Less than 5,Highly dissatisfied
37,15,Standard,5 to 15,Somewhat satisfied
63,83.1,Luxury,More than 15,Somewhat satisfied
22,12.100000000000001,Economy,Less than 5,Somewhat satisfied
66,34.800000000000004,Luxury,More than 15,Somewhat dissatisfied
26,9.4,Economy,Less than 5,Highly dissatisfied
44,51,Luxury,5 to 15,Somewhat satisfied
41,12.4,Economy,Less than 5,Neutral
26,7.6000000000000005,Economy,Less than 5,Somewhat dissatisfied
48,74.6,Luxury,More than 15,Somewhat dissatisfied
45,67.60000000000001,Luxury,More than 15,Neutral
26,25.3,Standard,5 to 15,Somewhat satisfied
31,11.200000000000001,Economy,Less than 5,Highly satisfied
54,70.7,Luxury,More than 15,Highly satisfied
34,18.3,Standard,5 to 15,Highly satisfied
32,22.1,Standard,5 to 15,Neutral
35,15.700000000000001,Standard,5 to 15,Somewhat dissatisfied
22,16.2,Standard,Less than 5,Highly dissatisfied
25,14.600000000000001,Economy,Less than 5,Highly satisfied
59,51.2,Luxury,More than 15,Highly satisfied
28,7.5,Economy,Less than 5,Somewhat dissatisfied
37,25.400000000000002,Standard,5 to 15,Highly dissatisfied
43,14,Economy,Less than 5,Neutral
42,34.1,Luxury,More than 15,Highly satisfied
35,19,Standard,5 to 15,Neutral
22,15.700000000000001,Standard,5 to 15,Neutral
55,80.5,Luxury,More than 15,Highly satisfied
63,5.6000000000000005,Economy,More than 15,Neutral
40,31.700000000000003,Luxury,5 to 15,Somewhat satisfied
29,29.400000000000002,Standard,5 to 15,Somewhat dissatisfied
32,25.6,Standard,5 to 15,Somewhat satisfied
47,69.2,Luxury,5 to 15,Somewhat dissatisfied
42,13.9,Economy,Less than 5,Highly dissatisfied
50,11.700000000000001,Economy,Less than 5,Highly satisfied
52,16.900000000000002,Standard,Less than 5,Somewhat dissatisfied
33,13.100000000000001,Economy,Less than 5,Highly satisfied
54,73.6,Luxury,More than 15,Neutral
37,15.9,Standard,More than 15,Highly satisfied
57,73.5,Luxury,More than 15,Somewhat satisfied
70,5.5,Economy,More than 15,Highly satisfied
23,6.9,Economy,Less than 5,Neutral
55,98.2,Luxury,More than 15,Somewhat satisfied
48,41.1,Luxury,More than 15,Somewhat dissatisfied
38,20.1,Standard,More than 15,Somewhat satisfied
47,32.5,Luxury,More than 15,Somewhat satisfied
29,10.5,Economy,Less than 5,Highly dissatisfied
27,13.100000000000001,Economy,Less than 5,Highly dissatisfied
29,19.8,Standard,5 to 15,Somewhat dissatisfied
28,12.600000000000001,Economy,Less than 5,Somewhat dissatisfied
47,27.200000000000003,Standard,5 to 15,Somewhat satisfied
45,11.100000000000001,Economy,Less than 5,Highly dissatisfied
24,9.600000000000001,Economy,Less than 5,Highly dissatisfied
41,67.9,Luxury,More than 15,Highly satisfied
18,6.6000000000000005,Economy,Less than 5,Highly dissatisfied
42,69.9,Luxury,More than 15,Neutral
45,23.1,Standard,5 to 15,Somewhat dissatisfied
34,19.8,Standard,5 to 15,Highly dissatisfied
38,53.5,Luxury,5 to 15,Somewhat satisfied
36,67.5,Luxury,5 to 15,Highly satisfied
19,7.9,Economy,Less than 5,Highly dissatisfied
28,11.9,Economy,5 to 15,Neutral
41,15.700000000000001,Standard,5 to 15,Somewhat satisfied
54,23.900000000000002,Standard,5 to 15,Somewhat satisfied
42,70.5,Luxury,5 to 15,Highly satisfied
47,58.900000000000006,Luxury,More than 15,Highly satisfied
61,70.9,Luxury,More than 15,Highly satisfied
66,6.5,Economy,More than 15,Highly satisfied
51,36.7,Luxury,Less than 5,Somewhat satisfied
55,16.6,Standard,5 to 15,Somewhat dissatisfied
36,13.3,Economy,5 to 15,Somewhat dissatisfied
39,30.700000000000003,Luxury,5 to 15,Somewhat satisfied
38,14.5,Economy,Less than 5,Highly dissatisfied
44,44.300000000000004,Luxury,More than 15,Somewhat satisfied
52,38.7,Luxury,More than 15,Highly satisfied
55,70.9,Luxury,More than 15,Highly satisfied
58,49.1,Luxury,More than 15,Highly satisfied
61,58.7,Luxury,More than 15,Somewhat satisfied
64,4.9,Economy,5 to 15,Somewhat dissatisfied
45,76.1,Luxury,More than 15,Highly satisfied
66,63.2,Luxury,More than 15,Highly satisfied
31,15.200000000000001,Standard,Less than 5,Highly dissatisfied
31,12.600000000000001,Economy,Less than 5,Somewhat satisfied
36,29.400000000000002,Standard,5 to 15,Highly satisfied
20,10.600000000000001,Economy,Less than 5,Highly dissatisfied
40,17.3,Standard,Less than 5,Highly satisfied
38,19.3,Standard,Less than 5,Somewhat dissatisfied
51,43,Luxury,5 to 15,Somewhat satisfied
47,18.3,Standard,5 to 15,Highly satisfied
31,15.4,Standard,Less than 5,Somewhat satisfied
34,22.1,Standard,Less than 5,Highly dissatisfied
35,20.200000000000003,Standard,5 to 15,Neutral
66,23.700000000000003,Standard,More than 15,Highly satisfied
63,60.2,Luxury,5 to 15,Highly satisfied
34,51,Luxury,5 to 15,Somewhat dissatisfied
37,15.4,Standard,5 to 15,Neutral
34,18.400000000000002,Standard,5 to 15,Highly satisfied
36,56,Luxury,Less than 5,Highly dissatisfied
42,21.6,Standard,5 to 15,Somewhat satisfied
63,72.2,Luxury,More than 15,Highly satisfied
30,24.1,Standard,5 to 15,Highly satisfied
58,68.5,Luxury,More than 15,Somewhat satisfied
36,18.7,Standard,More than 15,Neutral
53,75,Luxury,More than 15,Somewhat satisfied
43,43.2,Luxury,5 to 15,Somewhat dissatisfied
33,12,Economy,Less than 5,Somewhat satisfied
37,43.300000000000004,Luxury,5 to 15,Neutral
43,33.7,Luxury,5 to 15,Neutral
45,96.30000000000001,Luxury,More than 15,Somewhat satisfied
37,13.8,Economy,More than 15,Neutral
19,7.4,Economy,Less than 5,Highly dissatisfied
55,33.1,Luxury,More than 15,Somewhat dissatisfied
40,47.800000000000004,Luxury,Less than 5,Highly satisfied
61,5.2,Economy,5 to 15,Somewhat dissatisfied
25,9.600000000000001,Economy,5 to 15,Somewhat dissatisfied
35,58.6,Luxury,5 to 15,Neutral
60,21.400000000000002,Standard,5 to 15,Somewhat dissatisfied
37,26.400000000000002,Standard,5 to 15,Highly satisfied
38,37.1,Luxury,5 to 15,Somewhat satisfied
46,18,Standard,5 to 15,Somewhat dissatisfied
43,28.400000000000002,Standard,Less than 5,Somewhat satisfied
40,24,Standard,5 to 15,Neutral
34,11,Economy,5 to 15,Somewhat dissatisfied
40,16.7,Standard,Less than 5,Somewhat dissatisfied
44,20,Standard,5 to 15,Highly dissatisfied
28,21.5,Standard,5 to 15,Highly dissatisfied
47,31.900000000000002,Luxury,5 to 15,Somewhat satisfied
23,12.3,Economy,Less than 5,Highly dissatisfied
51,16.3,Standard,Less than 5,Somewhat dissatisfied
39,11.8,Economy,Less than 5,Somewhat satisfied
54,30.1,Luxury,5 to 15,Highly satisfied
54,76.2,Luxury,More than 15,Highly satisfied
28,20.8,Standard,5 to 15,Neutral
26,12.9,Economy,Less than 5,Highly dissatisfied
42,28.900000000000002,Standard,Less than 5,Somewhat dissatisfied
44,19.3,Standard,5 to 15,Somewhat satisfied
41,20,Standard,More than 15,Highly satisfied
40,16.5,Standard,5 to 15,Somewhat satisfied
39,26.700000000000003,Standard,5 to 15,Somewhat satisfied
35,27.5,Standard,5 to 15,Somewhat satisfied
45,70.7,Luxury,5 to 15,Somewhat satisfied
48,27.8,Standard,More than 15,Highly satisfied
71,34.800000000000004,Luxury,More than 15,Neutral
31,17.2,Standard,Less than 5,Somewhat satisfied
50,78,Luxury,More than 15,Highly dissatisfied
55,83.2,Luxury,More than 15,Highly satisfied
32,12.8,Economy,Less than 5,Highly dissatisfied
51,62.6,Luxury,More than 15,Somewhat satisfied
52,23.400000000000002,Standard,More than 15,Somewhat satisfied
46,15.9,Standard,Less than 5,Neutral
49,77.8,Luxury,More than 15,Somewhat satisfied
48,19.400000000000002,Standard,Less than 5,Highly dissatisfied
23,10.5,Economy,Less than 5,Highly dissatisfied
52,37.1,Luxury,More than 15,Somewhat satisfied
50,33.9,Luxury,More than 15,Highly satisfied
60,49.800000000000004,Luxury,More than 15,Highly satisfied
21,7,Economy,Less than 5,Somewhat dissatisfied
36,21.900000000000002,Standard,5 to 15,Neutral
49,25.900000000000002,Standard,5 to 15,Neutral
48,60.900000000000006,Luxury,More than 15,Neutral
25,32.4,Luxury,Less than 5,Neutral
35,13.5,Economy,Less than 5,Somewhat dissatisfied
49,51.6,Luxury,Less than 5,Highly dissatisfied
47,53.6,Luxury,More than 15,Highly satisfied
27,12.9,Economy,5 to 15,Neutral
34,11.9,Economy,Less than 5,Somewhat dissatisfied
36,15.200000000000001,Standard,5 to 15,Highly dissatisfied
50,18.3,Standard,5 to 15,Somewhat satisfied
29,13.5,Economy,Less than 5,Somewhat satisfied
33,10.5,Economy,Less than 5,Neutral
42,13.100000000000001,Economy,5 to 15,Neutral
33,11.9,Economy,5 to 15,Neutral
30,16,Standard,5 to 15,Highly dissatisfied
51,73.9,Luxury,More than 15,Highly satisfied
27,14,Economy,Less than 5,Highly dissatisfied
29,8.1,Economy,5 to 15,Somewhat satisfied
32,18.900000000000002,Standard,5 to 15,Highly dissatisfied
44,15.3,Standard,5 to 15,Highly satisfied
34,56.900000000000006,Luxury,5 to 15,Highly satisfied
20,16.2,Standard,Less than 5,Highly dissatisfied
49,39.6,Luxury,More than 15,Neutral
34,50,Luxury,5 to 15,Highly satisfied
34,14.9,Economy,5 to 15,Neutral
31,24.700000000000003,Standard,5 to 15,Highly satisfied
39,73.6,Luxury,More than 15,Highly satisfied
33,20.8,Standard,Less than 5,Neutral
54,35.2,Luxury,More than 15,Somewhat dissatisfied
31,29.3,Standard,Less than 5,Somewhat dissatisfied
34,35.300000000000004,Luxury,5 to 15,Neutral
29,14.3,Economy,Less than 5,Somewhat satisfied
24,7.2,Economy,Less than 5,Somewhat satisfied
49,76.10000000000001,Luxury,More than 15,Highly satisfied
19,7.1000000000000005,Economy,Less than 5,Somewhat satisfied
49,17.7,Standard,5 to 15,Highly satisfied
40,24.8,Standard,5 to 15,Somewhat dissatisfied
28,37.4,Luxury,Less than 5,Highly dissatisfied
36,63.800000000000004,Luxury,5 to 15,Highly satisfied
46,22.8,Standard,More than 15,Highly satisfied
24,12.600000000000001,Economy,Less than 5,Somewhat dissatisfied
38,39,Luxury,5 to 15,Neutral
31,13.9,Economy,5 to 15,Highly satisfied
37,29.400000000000002,Standard,5 to 15,Somewhat dissatisfied
58,8.4,Economy,Less than 5,Neutral
37,15.4,Standard,5 to 15,Neutral
73,5.300000000000001,Economy,More than 15,Neutral
44,13.3,Economy,5 to 15,Neutral
66,34.7,Luxury,5 to 15,Neutral
50,34.6,Luxury,5 to 15,Somewhat satisfied
30,12.600000000000001,Economy,Less than 5,Somewhat dissatisfied
41,13.600000000000001,Economy,5 to 15,Highly dissatisfied
57,72,Luxury,More than 15,Highly satisfied
71,74.2,Luxury,More than 15,Somewhat satisfied
53,39.5,Luxury,More than 15,Somewhat satisfied
38,27.1,Standard,5 to 15,Neutral
46,57.1,Luxury,5 to 15,Somewhat dissatisfied
61,14.8,Economy,Less than 5,Highly dissatisfied
48,13.8,Economy,Less than 5,Neutral
35,9.3,Economy,5 to 15,Highly satisfied
55,77.6,Luxury,More than 15,Somewhat satisfied
51,72.7,Luxury,More than 15,Neutral
45,30.8,Luxury,More than 15,Somewhat dissatisfied
50,42.1,Luxury,5 to 15,Somewhat satisfied
36,24.3,Standard,5 to 15,Somewhat satisfied
44,24.400000000000002,Standard,5 to 15,Somewhat satisfied
38,12.5,Economy,Less than 5,Highly dissatisfied
50,30.700000000000003,Luxury,5 to 15,Somewhat satisfied
37,28,Standard,5 to 15,Somewhat satisfied
48,73.7,Luxury,More than 15,Highly dissatisfied
46,17.7,Standard,5 to 15,Highly dissatisfied
51,26.1,Standard,Less than 5,Highly dissatisfied
22,10.700000000000001,Economy,Less than 5,Highly dissatisfied
72,8.5,Economy,More than 15,Highly satisfied
61,11.700000000000001,Economy,5 to 15,Neutral
40,14.200000000000001,Economy,Less than 5,Neutral
49,20,Standard,More than 15,Somewhat satisfied
43,46.5,Luxury,More than 15,Somewhat satisfied
26,15.700000000000001,Standard,5 to 15,Somewhat satisfied
41,75.7,Luxury,More than 15,Somewhat dissatisfied
44,19.5,Standard,5 to 15,Neutral
27,49.2,Luxury,Less than 5,Highly dissatisfied
48,48.6,Luxury,Less than 5,Somewhat dissatisfied
44,19.700000000000003,Standard,5 to 15,Somewhat dissatisfied
53,79.4,Luxury,5 to 15,Somewhat satisfied
41,34.6,Luxury,5 to 15,Somewhat satisfied
63,58.1,Luxury,More than 15,Neutral
29,19.8,Standard,5 to 15,Highly satisfied
39,39.800000000000004,Luxury,More than 15,Neutral
39,13.100000000000001,Economy,5 to 15,Neutral
36,43.800000000000004,Luxury,5 to 15,Neutral
28,34.2,Luxury,5 to 15,Highly satisfied
54,65.60000000000001,Luxury,More than 15,Somewhat satisfied
36,39.1,Luxury,More than 15,Neutral
57,79.6,Luxury,More than 15,Somewhat satisfied
41,21.5,Standard,More than 15,Highly satisfied
31,22.1,Standard,Less than 5,Somewhat dissatisfied
39,46.400000000000006,Luxury,5 to 15,Neutral
54,77.5,Luxury,More than 15,Somewhat satisfied
49,50.400000000000006,Luxury,More than 15,Somewhat satisfied
54,60.1,Luxury,More than 15,Somewhat satisfied
36,16.3,Standard,Less than 5,Highly dissatisfied
53,54.6,Luxury,More than 15,Somewhat satisfied
60,4.4,Economy,Less than 5,Somewhat dissatisfied
29,14.5,Economy,5 to 15,Neutral
50,12.4,Economy,5 to 15,Somewhat dissatisfied
62,23.6,Standard,5 to 15,Neutral
44,48.7,Luxury,More than 15,Highly satisfied
65,77.1,Luxury,More than 15,Neutral
56,75.8,Luxury,More than 15,Highly satisfied
32,20.5,Standard,Less than 5,Highly dissatisfied
40,42.2,Luxury,5 to 15,Somewhat dissatisfied
20,9.5,Economy,Less than 5,Highly dissatisfied
59,8.1,Economy,More than 15,Highly satisfied
58,5,Economy,More than 15,Somewhat satisfied
37,38.1,Luxury,Less than 5,Highly dissatisfied
52,60.800000000000004,Luxury,More than 15,Highly satisfied
29,22.200000000000003,Standard,5 to 15,Highly satisfied
48,13.100000000000001,Economy,Less than 5,Somewhat dissatisfied
25,10.8,Economy,Less than 5,Highly satisfied
35,75.2,Luxury,Less than 5,Neutral
28,46.300000000000004,Luxury,Less than 5,Somewhat satisfied
42,30.3,Luxury,5 to 15,Somewhat satisfied
53,58.5,Luxury,More than 15,Highly satisfied
67,5,Economy,Less than 5,Neutral
31,47,Luxury,5 to 15,Somewhat satisfied
43,33.2,Luxury,More than 15,Somewhat dissatisfied
60,29.3,Standard,More than 15,Somewhat satisfied
41,98.60000000000001,Luxury,5 to 15,Somewhat satisfied
62,31.6,Luxury,5 to 15,Somewhat satisfied
37,13.9,Economy,Less than 5,Highly dissatisfied
37,24.1,Standard,5 to 15,Neutral
19,10.3,Economy,Less than 5,Neutral
63,34.4,Luxury,More than 15,Highly satisfied
41,34.5,Luxury,More than 15,Somewhat dissatisfied
59,29.3,Standard,Less than 5,Neutral
70,4.6000000000000005,Economy,5 to 15,Somewhat dissatisfied
44,23.200000000000003,Standard,5 to 15,Neutral
53,64.7,Luxury,More than 15,Somewhat satisfied
37,19.6,Standard,5 to 15,Neutral
64,7.4,Economy,5 to 15,Neutral
56,42.5,Luxury,More than 15,Somewhat satisfied
31,20.6,Standard,5 to 15,Somewhat dissatisfied
29,14.3,Economy,Less than 5,Somewhat dissatisfied
51,38.5,Luxury,Less than 5,Highly dissatisfied
25,11.200000000000001,Economy,5 to 15,Neutral
44,70.3,Luxury,5 to 15,Highly satisfied
35,17.400000000000002,Standard,Less than 5,Somewhat satisfied
29,14.9,Economy,5 to 15,Neutral
60,57.2,Luxury,More than 15,Neutral
49,18.7,Standard,Less than 5,Highly dissatisfied
21,13.600000000000001,Economy,Less than 5,Neutral
63,5.4,Economy,More than 15,Somewhat satisfied
20,9.1,Economy,Less than 5,Highly dissatisfied
33,17.3,Standard,5 to 15,Highly dissatisfied
61,11.8,Economy,Less than 5,Highly dissatisfied
53,16.5,Standard,5 to 15,Neutral
35,23.900000000000002,Standard,5 to 15,Highly satisfied
46,23.900000000000002,Standard,More than 15,Somewhat satisfied
23,9.3,Economy,Less than 5,Somewhat dissatisfied
47,29.5,Standard,5 to 15,Somewhat dissatisfied
49,43.300000000000004,Luxury,Less than 5,Somewhat satisfied
43,49.400000000000006,Luxury,Less than 5,Highly dissatisfied
64,5.6000000000000005,Economy,More than 15,Somewhat satisfied
53,76.3,Luxury,More than 15,Highly satisfied
32,9,Economy,Less than 5,Neutral
28,21,Standard,Less than 5,Neutral
25,12.9,Economy,Less than 5,Highly dissatisfied
31,12.4,Economy,Less than 5,Somewhat dissatisfied
46,37.6,Luxury,More than 15,Somewhat satisfied
34,15.8,Standard,5 to 15,Highly dissatisfied
26,11.700000000000001,Economy,5 to 15,Neutral
42,21.200000000000003,Standard,5 to 15,Somewhat satisfied
58,78.6,Luxury,More than 15,Highly satisfied
55,43.800000000000004,Luxury,More than 15,Neutral
63,45,Luxury,More than 15,Neutral
59,70,Luxury,More than 15,Highly satisfied
43,27,Standard,5 to 15,Somewhat satisfied
41,14.100000000000001,Economy,Less than 5,Somewhat dissatisfied
34,17,Standard,Less than 5,Neutral
19,8,Economy,Less than 5,Highly dissatisfied
27,12.8,Economy,5 to 15,Somewhat dissatisfied
38,21.900000000000002,Standard,5 to 15,Somewhat satisfied
59,19.1,Standard,Less than 5,Neutral
21,9.600000000000001,Economy,Less than 5,Somewhat dissatisfied
36,20.3,Standard,5 to 15,Somewhat satisfied
43,17.1,Standard,5 to 15,Highly satisfied
41,11.9,Economy,5 to 15,Neutral
52,13.200000000000001,Economy,Less than 5,Somewhat satisfied
25,12.8,Economy,Less than 5,Highly satisfied
24,11.9,Economy,Less than 5,Highly dissatisfied
32,29.200000000000003,Standard,5 to 15,Neutral
60,79.3,Luxury,More than 15,Somewhat satisfied
54,15.200000000000001,Standard,More than 15,Somewhat dissatisfied
35,12.8,Economy,Less than 5,Highly dissatisfied
46,28.700000000000003,Standard,5 to 15,Highly satisfied
25,15.4,Standard,Less than 5,Somewhat dissatisfied
34,12.3,Economy,Less than 5,Highly dissatisfied
30,18.7,Standard,5 to 15,Somewhat satisfied
24,13.5,Economy,Less than 5,Somewhat dissatisfied
34,17.6,Standard,Less than 5,Highly dissatisfied
59,80.2,Luxury,More than 15,Highly satisfied
38,43.5,Luxury,More than 15,Somewhat satisfied
